1` Sounds\Sound_Effects\this_is_pam.wav
2` Sounds\Sound_Effects\Awesome.wav
3` Sounds\Sound_Effects\Blackbear.wav
4` Sounds\Sound_Effects\thats_what_she.wav
5` Sounds\Sound_Effects\Pretzel_day.wav
6` Sounds\Sound_Effects\Stanley_dont_care.wav
9` Sounds\Sound_Effects\dwight.wav
8` Sounds\Sound_Effects\Cool_beans.wav
7` Sounds\Sound_Effects\Funny.wav
i` Sounds\Sound_Effects\Badabing.wav
o` Sounds\Sound_Effects\Godfather_offer.wav
a` Sounds\Sound_Effects\gigawatts.wav
s` Sounds\Sound_Effects\butthead.wav
z` Sounds\Sound_Effects\great_scott.wav
x` Sounds\Sound_Effects\Say_hi_to_your_mom.wav
q` Sounds\Sound_Effects\its_all_part_of_the_plan.wav
w` Sounds\Sound_Effects\how_scars.wav
e` Sounds\Sound_Effects\lets_put_a_smile.wav
r` Sounds\Sound_Effects\serious.wav
t` Sounds\Sound_Effects\born_in_darkness.wav
y` Sounds\Sound_Effects\lucious_fox.wav
u` Sounds\Sound_Effects\im_batman.wav
0` Sounds\Sound_Effects\Pity_the_foo.wav
p` Sounds\Sound_Effects\Upset_TwoTone.wav
;` Sounds\Sound_Effects\weeeoowww.wav
l` Sounds\Sound_Effects\power_darkside.wav
,` Sounds\Sound_Effects\these_droids.wav
.` Sounds\Sound_Effects\chewbacca_1.wav
v` Sounds\Sound_Effects\chewbacca_2.wav
